,user,assistant,category,format
26,Is a higher or lower value better for Opponent Shot Probability Within 7s After Turnover?,"Opponent Shot Probability Within 7s After Turnover: Lower is better. In this dataset the median is 0.1066, upper-quartile is around 0.1297, and top-end is around 0.1379. The lowest example in the sample is West Ham and the highest is Southampton.",opp_box_entries_within_7s_after_turnover,qa
27,What does  progression to midfield pct  means?,This metric measure the share of teams build-ups that progress into midfield. A high value indicate the team is strong in controlling the ball and efficient in progressing the ball forward in build-up,opp_shot_probability_within_7s_after_turnover,qa
28,What does a low value in  progression to midfield pct  means?,"A low value tells the team is struggling to control, and progress the ball in build-up. A low value is also a clear sign of build-ups that ends in turnovers and chaotic phases without stable progression. ",opp_shot_probability_within_7s_after_turnover,qa
29,How would you describe a team that are very strong controlling  the ball in build-up? ,"A team which is strong in controlling the ball could be described strong in recycling the ball, and often manage to play thas strong in progression_to_midfield_pct, turnover_pct_buildup, ""first_line_break_pct_buildup",opp_shot_probability_within_7s_after_turnover,qa
30,What are the difference between  progression to midfield pct  and turnovers?, progression to midfield pct measure the teams ability to keep the possession and progress the ball into midfield. The turnover measure the share of build-ups that ends in turnover. ,opp_shot_probability_within_7s_after_turnover,qa
31,Which metric/datapoints are most important for build-up?,How well they progress the ball into attacking zones (buildup that ends with finish pct) and the ability to avoid turnovers (turnovers during build-up) are two of the most important metrics when evaluating teams build-up play.,opp_shot_probability_within_7s_after_turnover,qa
32,How would you describe a team which is good or outstanding in terms of Turnover % in Build-up?,A team that manage to control the ball during build-up and rarely loose the ball. ,quality_profile,qa
33,"How would you describe a team which is good or outstanding in terms of Turnover % in Build-up, but below average or poor in terms of Opponent Box Entries Within 7s After Turnover and Opponent Shot Probability Within 7s After Turnover? ","A team which is strong on the ball during build-up, but concede chances after loosing the ball. This tell they often loose the ball in dangerous areas which leads to box entries and shot from the opponent. ",quality_profile,qa
34,"What does it imply if a team is a good or excellent in terms of progression to midfield pct, and average, below average og poor in build-ups that progress into a finish phase?","This tells the team is very efficient when playing out from the back, and easyli get into midfield, but struggle to get into the final third. ",quality_profile,qa
35,What does it imply if a team is good or excellent in nearly all metrics?,"A team which is good or excellent in nearly all metrics is brilliant in progressing the ball forward with controlled possession, and rarely loose the ball in dangerous areas during build-up, which results in less opposition chances from turnovers. ",quality_profile,qa
36,What does it imply if a team is good or excellent in terms of build-ups that progress into a finish phase?,"A team which is good or excellent in terms of build-ups that progress into a finish phase manage to play out from the back, break through the opponent pressure and progress through the middle third into attack. These teams can have different style of play, but they are all strong in progressing the ball into the final third.",quality_profile,qa
37,What does it imply if a team is good or excellent in terms of build-ups that break the first defensive line of pressure?,"A team which is good or excellent in terms of build-ups that break the first defensive line of pressure are agressive in trying to play thorugh the first line of pressure from the opponent. Such passes can be highly effective, and break the opposition press and allow further progression forward.  However, these passes can also lead to dangerous turnovers, so this metric should not be interpreted in isolation. ",quality_profile,qa
38,What does it imply if a team is good or excellent in terms of turnovers during build-up?,"A team which is good or excellent in terms of turnovers during build-up are controlled in possession in their own third, and try to progress forward with control and rarely takes high risk during build-up. ",quality_profile,qa
39,What does it imply if a team is good or excellent in terms of opposition box entries shortly after turnovers?,"A team which is good or excellent in terms of opposition box entries shortly after turnovers are having a great balance between control and risk during build-up, which   contribute to less situations where opponents move into the box after turnovers. ",quality_profile,qa
40,What does it imply if a team is good or excellent in terms of opposition shot probability?,"A team which is good or excellent in terms of opposition shot probability shortly after turnovers are playing with a a great balance between control and risk during build-up, which contribute to less shooting opportunities for the opponent after turnovers. Such teams manage to be in a position to avoid good shooting opportunities when the turnovers happens.",quality_profile,qa
41,I want to know about another team?,If you want to know about team player you can select your prefered team in the bar to the left!,quality_profile,qa
42,,,quality profile,qa
