Unnamed: 0,user,assistant,category,format
10,What does a low value in Pressing Chains Per Match mean?,A low value suggests the team starts fewer high pressing sequences in the opposition half. That can reflect a more conservative defensive approach or a team that presses less often high up the pitch.,chains_pm,qa
11,How should I interpret Pressing Chains Per Match in a pressing context?,"This metric tells you how much high pressing a team does, not how good every pressing sequence is. It should be read together with regains, press break rate, and what the opponent can still do under pressure.",chains_pm,qa
12,Is a higher or lower value better for Pressing Chains Per Match?,"Pressing Chains Per Match: Higher is usually better if the team's structure can support it. In this dataset the median is 19.73, the upper quartile is around 20.89, the lowest example is Aston Villa at 15.84, and the highest is Crystal Palace at 23.76.",chains_pm,qa
13,What does Regains In Opp. Half Per Match measure?,Regains In Opp. Half Per Match measures how often the team regains the ball in the opposition half through defensive pressure actions. It is a direct outcome metric for how often the press ends in winning the ball high.,recovery_opp_half_pm,qa
14,What does a high value in Regains In Opp. Half Per Match mean?,A high value suggests the team is effective at turning pressure into high regains. That usually gives them short attacking distances after winning the ball.,recovery_opp_half_pm,qa
15,What does a low value in Regains In Opp. Half Per Match mean?,"A low value suggests the team wins the ball high less often. The team may still press, but it is converting fewer of those moments into direct regains in advanced areas.",recovery_opp_half_pm,qa
16,How should I interpret Regains In Opp. Half Per Match in a pressing context?,"High values fit teams whose press frequently ends with immediate ball wins near the opponent's goal. Low values fit teams whose press is less productive in direct regain terms, even if they still pressure high.",recovery_opp_half_pm,qa
17,Is a higher or lower value better for Regains In Opp. Half Per Match?,"Regains In Opp. Half Per Match: Higher is better. In this dataset the median is 26.77, the upper quartile is around 27.83, the lowest example is Arsenal at 20.50, and the highest is Crystal Palace at 30.55.",recovery_opp_half_pm,qa
18,What does Opp. Long Balls Forced Per Match measure?,Opp. Long Balls Forced Per Match measures how often the team's pressing chains force the opponent into a long or high pass. It captures whether the press pushes the opponent away from short controlled build-up.,force_long_ball_pm,qa
19,What does a high value in Opp. Long Balls Forced Per Match mean?,A high value suggests the press often forces the opponent to go long instead of playing through. That usually indicates the team is making short build-up uncomfortable.,force_long_ball_pm,qa
20,What does a low value in Opp. Long Balls Forced Per Match mean?,A low value suggests the opponent is less often forced into long balls by the press. That can mean the opponent is finding shorter exits more often or the press is less disruptive to build-up shape.,force_long_ball_pm,qa
21,How should I interpret Opp. Long Balls Forced Per Match in a pressing context?,"This metric is about disruption rather than direct regains. High values fit teams that stop short circulation and push the opponent into lower-control solutions, but it should still be paired with break rate and line-breaking metrics to judge whether those long balls are actually safe for the pressing team.",force_long_ball_pm,qa
22,Is a higher or lower value better for Opp. Long Balls Forced Per Match?,"Opp. Long Balls Forced Per Match: Higher is better. In this dataset the median is 8.18, the upper quartile is around 8.73, the lowest example is Aston Villa at 6.21, and the highest is Manchester City at 10.18.",force_long_ball_pm,qa
23,What does Press Break Rate In Opp. Half measure?,Press Break Rate In Opp. Half measures the share of pressing chains in the opposition half that end with the press being broken. It tells you how often opponents escape those high pressing sequences.,press_break_rate_opp_half,qa
24,What does a high value in Press Break Rate In Opp. Half mean?,A high press break rate means opponents escape the press more often once the team starts pressing high. That is a negative outcome because the press is being played through or bypassed too frequently.,press_break_rate_opp_half,qa
25,What does a low value in Press Break Rate In Opp. Half mean?,A low press break rate means the team contains or ends high pressing chains more reliably. It suggests the press is harder to escape.,press_break_rate_opp_half,qa
26,How should I interpret Press Break Rate In Opp. Half in a pressing context?,This is one of the clearest quality metrics in the model because it looks at success rate rather than raw count. Low values fit teams whose high press holds together structurally; high values fit teams that press high but get broken too often.,press_break_rate_opp_half,qa
27,Is a higher or lower value better for Press Break Rate In Opp. Half?,"Press Break Rate In Opp. Half: Lower is better. In this dataset the median is 63.45%, the upper quartile is around 66.28%, the lowest example is Tottenham at 56.74%, and the highest is Nottingham at 73.80%.",press_break_rate_opp_half,qa
28,What does Opp. Goals After Broken Press Per Match measure?,Opp. Goals After Broken Press Per Match measures how many goals the opponent scores per match after escaping the press. It captures the punishment the team suffers when high pressure fails.,lead_to_goal_after_broken_pm,qa
29,What does a high value in Opp. Goals After Broken Press Per Match mean?,"A high value suggests broken presses are especially costly. Opponents are not only escaping, they are also turning those escapes into goals more often.",lead_to_goal_after_broken_pm,qa
30,What does a low value in Opp. Goals After Broken Press Per Match mean?,"A low value suggests that even when the press is beaten, the team usually recovers well enough to avoid conceding goals from those situations. That points to better rest defence or better recovery behind the press.",lead_to_goal_after_broken_pm,qa
31,How should I interpret Opp. Goals After Broken Press Per Match in a pressing context?,"This is a consequence metric rather than a pure pressure metric. It should be read with press break rate: some teams do get broken, but the really vulnerable teams are the ones that also concede goals once that happens.",lead_to_goal_after_broken_pm,qa
32,Is a higher or lower value better for Opp. Goals After Broken Press Per Match?,"Opp. Goals After Broken Press Per Match: Lower is better. In this dataset the median is 0.13, the upper quartile is around 0.19, the lowest example is Chelsea at 0.03, and the highest is Leicester at 0.29.",lead_to_goal_after_broken_pm,qa
33,What does Opp. Pass Accuracy Under Pressure measure?,Opp. Pass Accuracy Under Pressure measures the opponent's pass completion rate on pass attempts linked to this team's pressure actions in the opposition half. It tells you how cleanly the opponent still circulates the ball while being pressed high.,pass_accuracy_under_pressure,qa
34,What does a high value in Opp. Pass Accuracy Under Pressure mean?,A high value suggests the opponent still completes a large share of passes under this team's pressure. That is a negative sign because the press is not making basic progression uncomfortable enough.,pass_accuracy_under_pressure,qa
35,What does a low value in Opp. Pass Accuracy Under Pressure mean?,A low value suggests the press is reducing the opponent's passing security under pressure. The opponent is completing fewer passes while being pressed high.,pass_accuracy_under_pressure,qa
36,How should I interpret Opp. Pass Accuracy Under Pressure in a pressing context?,"This is not a shot or chance metric; it is a circulation-under-pressure metric. Low values fit teams that make even simple passing harder during the press, while high values fit teams whose pressure is easier to play around with short passes.",pass_accuracy_under_pressure,qa
37,Is a higher or lower value better for Opp. Pass Accuracy Under Pressure?,"Opp. Pass Accuracy Under Pressure: Lower is better. In this dataset the median is 90.68%, the upper quartile is around 91.09%, the lowest example is Brighton at 89.22%, and the highest is Ipswich Town at 92.74%.",pass_accuracy_under_pressure,qa
38,What does Opp. Line-Breaking Pass Rate Under Pressure measure?,"Opp. Line-Breaking Pass Rate Under Pressure measures the share of opponent under-pressure pass attempts, linked to pressure actions in the opposition half, that successfully break at least one defensive line. It captures how often the press is beaten by a pass that actually plays through the structure.",line_breaking_pass_rate_under_pressure,qa
39,What does a high value in Opp. Line-Breaking Pass Rate Under Pressure mean?,"A high value suggests opponents can still play through the press with successful line-breaking passes. That is a negative outcome because the press is being beaten in a tactically important way, not just by harmless circulation.",line_breaking_pass_rate_under_pressure,qa
40,What does a low value in Opp. Line-Breaking Pass Rate Under Pressure mean?,A low value suggests the press keeps opponents in front of it more often and prevents successful line-breaking passes under pressure. That usually indicates better structure and better control in high pressing moments.,line_breaking_pass_rate_under_pressure,qa
41,How should I interpret Opp. Line-Breaking Pass Rate Under Pressure in a pressing context?,This is one of the strongest quality metrics in the model because it looks at whether opponents can really play through the press. Low values fit teams whose pressure protects defensive lines well; high values fit teams whose press is vulnerable to vertical passing through the block.,line_breaking_pass_rate_under_pressure,qa
42,Is a higher or lower value better for Opp. Line-Breaking Pass Rate Under Pressure?,"Opp. Line-Breaking Pass Rate Under Pressure: Lower is better. In this dataset the median is 15.50%, the upper quartile is around 15.98%, the lowest example is Tottenham at 13.67%, and the highest is Southampton at 17.09%.",line_breaking_pass_rate_under_pressure,qa
43,What does it imply if a team has a low Classic PPDA and high Regains In Opp. Half Per Match?,That usually describes a team that presses aggressively and turns that pressure into direct ball wins high up the pitch. It fits a side that engages early and often succeeds in recovering possession in advanced areas.,quality_profile,qa
44,What does it imply if a team has many Pressing Chains Per Match but also a high Press Break Rate In Opp. Half?,"That usually describes a team that presses high often but does not control those moments well enough. The team is proactive, but the quality of the press is inconsistent because opponents escape too often.",quality_profile,qa
45,What does it imply if a team forces many long balls but still allows a high Opp. Pass Accuracy Under Pressure?,"That suggests the press can disrupt some build-up phases but does not make all opponent passing uncomfortable. The team may be good at forcing direct exits in some situations, but not consistently strong at disrupting short passing under pressure.",quality_profile,qa
46,What does it imply if a team has a low Press Break Rate In Opp. Half and a low Opp. Line-Breaking Pass Rate Under Pressure?,That is a strong sign of pressing quality. It suggests the team is difficult to play through and usually keeps the opponent in front of the press rather than letting them break lines and escape.,quality_profile,qa
47,What does it imply if a team has a low Press Break Rate In Opp. Half but still concedes many Opp. Goals After Broken Press Per Match?,"That suggests the press usually works, but the few times it does fail are very costly. It points to a team whose rest defence or recovery structure behind the press may be fragile in the worst moments.",quality_profile,qa
48,How do the word labels work in the pressing analyst?,"The word labels are based on z-scores relative to the league comparison group. Above 1.5 is outstanding, 1.0 to 1.5 is excellent, 0.5 to 1.0 is good, -0.5 to 0.5 is average, -1.0 to -0.5 is below average, and below -1.0 is poor.",quality_profile,qa
49,I want to know about another team.,If you want to know about another team you can select a different team from the menu on the left.,quality_profile,qa
